2018-5-28,224,8,0
2018-5-29,224,2,0
2018-5-30,224,2,0
2018-5-31,224,2,0
2018-6-1,224,8,0
2018-6-2,224,6,0
2018-6-3,224,4,0
2018-6-4,224,4,0
2018-6-5,224,4,0
2018-6-6,224,4,0
2018-6-7,224,4,0
2018-6-8,224,4,0
2018-6-9,224,4,0
2018-6-10,224,4,0
2018-6-11,224,4,0
2018-6-12,224-122,4,0
2018-6-13,224-122,4,0
2018-6-14,224-122,4,0
2018-6-15,224-122,4,0
2018-6-16,224-122,4,0
2018-6-17,224-122,4,0
2018-6-18,224-122,4,0
2018-6-119,224-122,26,0
2018-6-20,224-122,14,0
2018-6-21,224-122,4,0
2018-6-22,224-122,6,0
2018-6-23,224-122,4,0
2018-6-24,224-122,4,0
2018-6-25,224-122,18,0
2018-6-26,224-122,16,0
2018-6-27,224-122,4,0
2018-6-28,224-122,6,0
2018-6-29,224-122,6,0
2018-6-30,224-122,6,0
2018-7-1,224-122,6,0
2018-7-2,224-122,8,0
2018-7-3,224-122,4,0
2018-7-4,224-122,22,0
2018-7-5,224-122,4,0
2018-7-6,224-122,8,0
2018-7-7,224-122,8,0
2018-7-8,224-122,10,0
2018-7-9,224-122,10,0
2018-7-10,224-122,4,0
2018-7-11,224-122,4,0
2018-7-12,224-122,6,0
2018-7-13,224-122,4,0
2018-7-14,122-224,4,0
2018-7-15,122-224,4,0
2018-7-16,122-224,4,0
2018-7-17,122-224,4,0
2018-7-18,122-224,6,0
2018-7-19,122-224,4,0
2018-7-20,122-224,4,0
2018-7-21,122-224,4,0
2018-7-22,122-224,4,0
2018-7-23,122-224,4,0
2018-7-24,122-224,4,0
2018-7-25,122-224,4,0
2018-7-26,122-224,6,0
2018-7-27,122-224,4,0
2018-7-28,122-224,4,0
2018-7-29,122-224,8,0
2018-7-30,122-224,8,0
2018-7-31,122-224,14,0
2018-8-1,122-224,6,0
2018-8-2,122-224,6,0
